,C1,C2,C3,C4,C5,C6,cluster
137,1.6667,1.3333,3.0,4.0,2.3333,1.0,2
138,3.3333,3.0,2.0,3.0,3.3333,2.0,2
139,3.6667,3.6667,1.6667,1.3333,1.3333,3.3333,1
140,3.0,3.0,3.3333,2.6667,3.3333,1.0,2
141,1.3333,1.6667,3.6667,1.6667,4.3333,1.3333,0
142,3.6667,4.0,2.3333,1.3333,3.3333,3.3333,1
143,3.0,4.0,2.0,2.3333,2.0,3.0,1
144,4.0,4.0,2.0,2.6667,2.6667,3.3333,1
145,3.3333,3.3333,1.6667,2.0,3.0,2.0,1
146,2.0,4.3333,2.0,1.0,3.0,5.0,1
147,2.6667,2.3333,2.6667,3.3333,2.6667,1.0,2
148,3.0,3.0,1.3333,2.0,4.0,3.3333,1
149,4.0,3.6667,1.3333,3.3333,3.0,3.0,1
150,2.0,2.3333,3.3333,2.6667,2.0,3.0,0
151,2.3333,3.0,2.6667,1.0,1.6667,4.3333,1
152,3.0,4.0,2.6667,2.3333,4.0,4.0,1
153,3.0,2.0,4.3333,3.6667,2.0,1.3333,2
154,2.6667,2.3333,1.3333,4.0,3.0,1.3333,2
155,4.3333,4.6667,1.3333,2.0,3.0,4.3333,1
156,2.6667,3.3333,3.3333,1.6667,1.3333,2.6667,0
157,2.6667,2.3333,2.6667,3.0,2.6667,1.0,2
158,2.3333,1.3333,3.0,3.6667,2.3333,1.3333,2
159,4.0,3.0,2.6667,3.6667,2.0,1.3333,2
160,2.0,1.6667,3.6667,1.6667,2.3333,2.3333,0
161,2.3333,2.6667,4.3333,4.0,3.3333,1.6667,2
162,3.0,4.3333,3.0,2.3333,2.6667,4.3333,1
163,2.6667,2.6667,4.3333,2.6667,2.0,4.0,0
164,3.6667,4.0,1.0,2.0,2.3333,4.3333,1
165,2.6667,2.6667,3.0,2.0,1.0,2.6667,0
166,3.0,3.0,2.6667,1.3333,1.6667,1.6667,0
167,4.0,1.6667,3.6667,3.6667,2.3333,2.3333,2
168,4.3333,1.6667,4.3333,4.3333,1.3333,1.3333,2
169,1.0,1.0,5.0,1.6667,2.6667,1.3333,0
170,2.6667,2.0,3.6667,3.3333,3.3333,1.0,2
171,4.0,4.3333,1.0,2.0,2.3333,4.0,1
172,2.6667,1.6667,2.6667,3.0,2.0,1.0,2
173,1.6667,2.6667,3.3333,1.6667,4.0,2.0,0
174,2.3333,2.3333,2.0,2.0,2.3333,1.6667,0
175,2.3333,1.3333,3.6667,3.3333,2.6667,1.0,2
176,2.3333,1.3333,4.0,3.0,1.0,2.0,0
177,2.6667,1.3333,3.6667,3.6667,1.6667,2.0,2
178,2.0,1.0,4.6667,2.6667,3.0,2.3333,0
179,2.3333,1.6667,3.0,3.3333,3.6667,1.6667,2
180,3.3333,2.3333,1.3333,3.6667,4.6667,1.3333,2
181,1.0,1.0,1.0,1.0,1.0,1.0,0
182,3.3333,3.6667,2.3333,2.3333,2.3333,3.3333,1
183,3.3333,3.6667,1.0,2.3333,4.6667,3.6667,1
184,4.0,4.6667,1.0,2.0,2.6667,4.3333,1
185,4.3333,5.0,1.0,1.6667,4.6667,5.0,1
186,4.3333,4.6667,1.0,2.6667,4.6667,3.0,1
187,2.0,2.0,3.3333,2.0,2.6667,2.6667,0
188,4.0,3.6667,1.3333,2.0,3.3333,4.0,1
189,3.0,3.3333,3.0,2.3333,2.6667,2.3333,2
